CustomerID,Churn,CityTier,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,CouponUsed,OrderCount,Tenure_zscore,HourSpendOnApp_zscore,WarehouseToHome_zscore,DaySinceLastOrder_zscore,OrderAmountHikeFromlastYear_zscore,CashbackAmount_zscore,Computer,Mobile Phone,CC,COD,Cash on Delivery,Credit Card,Debit Card,E wallet,Male,Fashion,Grocery,Laptop & Accessory,Mobile,Mobile Phone,Divorced,Married
50001,1,3,3,2,9,1,1.0,1.0,-0.7408098384931765,0.10809041272616081,-1.1559255064628435,0.1284852747689377,-1.3120930298346951,-0.3514653093845,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50002,1,1,4,3,7,1,0.0,1.0,-0.039249544842047596,0.10809041272616081,-0.916071563456659,-1.2786586489993788,-0.19722031881180604,-1.1447150100032129,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50003,1,1,4,3,6,1,0.0,1.0,-0.039249544842047596,-1.3072097159114928,1.72232180961137,-0.4343722947383889,-0.47593849656752835,-1.157315953236203,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
50004,1,3,4,5,8,0,0.0,1.0,-1.2196301343827876,-1.3072097159114928,-0.07658276293501341,-0.4343722947383889,2.032525103233972,-0.8770465868121179,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
50005,1,1,3,5,3,0,1.0,1.0,-1.2196301343827876,-0.32552199585740216,-0.4363636774442901,-0.4343722947383889,-1.3120930298346951,-0.9678953227015784,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
50006,1,1,5,5,2,1,4.0,6.0,-1.2196301343827876,0.10809041272616081,0.7629060375866321,0.6913428442762644,1.75380692547825,-0.7729871846300063,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50007,1,3,3,2,4,0,0.0,1.0,-0.039249544842047596,-1.3072097159114928,-0.5562906489473823,-1.2786586489993788,-0.47593849656752835,-1.1455279740827609,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
50008,1,1,3,2,3,1,2.0,2.0,-0.039249544842047596,0.10809041272616081,-1.1559255064628435,-1.2786586489993788,0.08149785894391623,-1.1034570829661647,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
50009,1,3,4,3,2,1,0.0,1.0,0.33653582725844833,-0.32552199585740216,-0.7961445919535668,-0.7158010794920522,-0.47593849656752835,-1.0241930852102596,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
50010,1,1,5,3,2,0,1.0,1.0,-0.039249544842047596,-1.3072097159114928,1.842248781114462,-0.9972298642457156,-1.033374852078973,-1.1034570829661647,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
50011,1,1,3,3,2,0,9.0,15.0,-0.7408098384931765,-1.3072097159114928,0.28319815157426326,0.9727716290299276,-0.05907154460161865,2.402856992123262,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50012,1,1,4,3,10,1,0.0,1.0,0.0971256793136428,0.10809041272616081,-1.1559255064628435,-1.2786586489993788,-0.7546566743232507,-0.4758488135553052,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
50013,1,1,3,3,2,1,2.0,2.0,-1.2196301343827876,-1.3072097159114928,-0.5562906489473823,-0.7158010794920522,-0.7546566743232507,-0.870136392135962,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
50014,1,1,4,3,1,1,0.0,1.0,-1.2196301343827876,0.10809041272616081,-0.07658276293501341,-1.2786586489993788,0.36021603669963853,-0.8809081661899696,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
50015,1,3,4,2,2,0,0.0,4.0,-0.14228446863116273,0.10809041272616081,-0.07658276293501341,0.6913428442762644,0.08149785894391623,0.38548662872553136,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
