CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_zscore,Male,Computer,Mobile Phone,Phone,CC,COD,Cash on Delivery,Credit Card,Debit Card,E wallet,UPI,Divorced,Married,Single
50001,1,0.06557377049180327,3,0.008196721311475405,0.6000000000000001,3,2,9,1,0.0,1.0,1.0,0.10869565217391304,0.4921074494599834,-0.7408098384931765,0,0,1,0,0,0,0,0,1,0,0,0,0,1
50002,1,0.16165147245422629,1,0.024590163934426233,0.6000000000000001,4,3,7,1,0.2666666666666667,0.0,1.0,0.0,0.3720114465060464,-0.0392495448420476,1,0,0,1,0,0,0,0,0,0,1,0,0,1
50003,1,0.16165147245422629,1,0.20491803278688525,0.4,4,3,6,1,0.20000000000000007,0.0,1.0,0.06521739130434782,0.370103695498323,-0.0392495448420476,1,0,0,1,0,0,0,0,1,0,0,0,0,1
50004,1,0.0,3,0.0819672131147541,0.4,4,5,8,0,0.7999999999999999,0.0,1.0,0.06521739130434782,0.4125357703313948,-1.2196301343827876,1,0,0,1,0,0,0,0,1,0,0,0,0,1
50005,1,0.0,1,0.05737704918032786,0.5387250237868696,3,5,3,0,0.0,1.0,1.0,0.06521739130434782,0.39878150096926057,-1.2196301343827876,1,0,0,1,1,0,0,0,0,0,0,0,0,1
50006,1,0.0,1,0.13934426229508196,0.6000000000000001,5,5,2,1,0.7333333333333333,4.0,6.0,0.15217391304347827,0.4282901012338841,-1.2196301343827876,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50007,1,0.16165147245422629,3,0.049180327868852465,0.4,3,2,4,0,0.20000000000000007,0.0,1.0,0.0,0.3718883657958706,-0.0392495448420476,1,0,0,1,0,0,1,0,0,0,0,1,0,0
50008,1,0.16165147245422629,1,0.008196721311475405,0.6000000000000001,3,2,3,1,0.33333333333333337,2.0,2.0,0.0,0.37825779254746295,-0.0392495448420476,1,0,0,1,1,0,0,0,0,0,0,1,0,0
50009,1,0.21311475409836067,3,0.032786885245901634,0.5387250237868696,4,3,2,1,0.20000000000000007,0.0,1.0,0.043478260869565216,0.3902581617895935,0.33653582725844833,1,0,0,1,0,0,0,0,0,1,0,1,0,0
50010,1,0.16165147245422629,1,0.21311475409836067,0.4,5,3,2,0,0.06666666666666676,1.0,1.0,0.021739130434782608,0.37825779254746295,-0.0392495448420476,1,0,0,1,0,0,0,0,1,0,0,0,0,1
50011,1,0.06557377049180327,1,0.10655737704918032,0.4,3,3,2,0,0.2997105045492142,9.0,15.0,0.17391304347826084,0.9091048955352472,-0.7408098384931765,0,0,1,0,0,0,1,0,0,0,0,1,0,0
50012,1,0.18032786885245905,1,0.008196721311475405,0.6000000000000001,4,3,10,1,0.1333333333333334,0.0,1.0,0.0,0.4732761008031016,0.0971256793136428,1,0,1,0,0,0,0,0,1,0,0,0,0,1
50013,1,0.0,1,0.049180327868852465,0.4,3,3,2,1,0.1333333333333334,2.0,2.0,0.043478260869565216,0.4135819563678882,-1.2196301343827876,1,0,0,1,0,1,0,0,0,0,0,0,0,1
50014,1,0.0,1,0.0819672131147541,0.6000000000000001,4,3,1,1,0.4,0.0,1.0,0.0,0.4119511369580602,-1.2196301343827876,1,0,0,1,1,0,0,0,0,0,0,1,0,0
50015,1,0.14754098360655735,3,0.0819672131147541,0.6000000000000001,4,2,2,0,0.33333333333333337,0.0,4.0,0.15217391304347827,0.6036801132342533,-0.14228446863116273,1,0,1,0,0,0,0,1,0,0,0,0,0,1
50016,1,0.16165147245422629,2,0.05737704918032786,0.6000000000000001,3,5,5,1,0.7333333333333333,1.0,1.0,0.043478260869565216,0.3714883534877996,-0.0392495448420476,1,0,0,1,0,0,0,0,0,0,1,0,1,0
50017,1,0.0,1,0.05737704918032786,0.581783194355356,4,2,2,1,0.4666666666666667,1.0,1.0,0.0,0.3977353149327671,-1.2196301343827876,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50018,1,0.0,3,0.049180327868852465,0.4,4,3,2,1,0.0,1.0,1.0,0.06521739130434782,0.4844456752515461,-1.2196301343827876,1,0,1,0,0,0,0,0,0,1,0,0,0,1
50019,1,0.0,1,0.06557377049180327,0.6000000000000001,5,3,2,1,0.8666666666666668,1.0,1.0,0.13043478260869565,0.4945998338410413,-1.2196301343827876,1,1,0,0,0,0,0,0,1,0,0,0,0,1
50020,1,0.3114754098360656,1,0.12295081967213115,0.6000000000000001,3,4,10,1,0.4666666666666667,1.0,4.0,0.06521739130434782,0.4604141665897412,1.054766271092865,0,0,1,0,0,0,0,0,1,0,0,1,0,0
50021,1,0.0,3,0.05737704918032786,0.6000000000000001,5,3,5,1,0.4666666666666667,6.0,7.0,0.15217391304347827,0.4976153112403458,-1.2196301343827876,1,0,1,0,0,0,0,0,1,0,0,1,0,0
50022,1,0.3278688524590164,1,0.19672131147540986,0.6000000000000001,3,2,2,0,0.06666666666666676,11.0,15.0,0.13043478260869565,0.625003846272193,1.1744713450652675,0,0,1,0,0,0,0,1,0,0,0,1,0,0
50023,1,0.16165147245422629,3,0.1885245901639344,0.4,3,3,2,1,0.5333333333333333,0.0,1.0,0.0,0.3592418228253177,-0.0392495448420476,1,0,1,0,0,0,0,0,0,1,0,0,0,1
50024,1,0.0,3,0.17213114754098366,0.6000000000000001,5,3,4,1,0.0,1.0,2.0,0.043478260869565216,0.4479830148619957,-1.2196301343827876,0,0,0,1,0,0,0,0,1,0,0,1,0,0
50025,1,0.2295081967213115,1,0.07377049180327869,0.4,5,2,3,0,0.2666666666666667,0.0,1.0,0.06521739130434782,0.6354041662820394,0.4562409012308511,1,1,0,0,0,0,0,0,1,0,0,0,0,1
50026,1,0.0,1,0.0819672131147541,0.4,3,5,8,0,0.7333333333333333,1.0,1.0,0.08695652173913042,0.4369365211237268,-1.2196301343827876,0,0,0,1,0,0,0,1,0,0,0,0,0,1
50027,0,0.13114754098360654,3,0.008196721311475405,0.6000000000000001,3,4,2,0,0.1333333333333334,1.0,1.0,0.13043478260869565,0.5321702206221729,-0.2619895426035655,1,0,1,0,0,0,0,0,0,1,0,1,0,0
50028,0,0.16165147245422629,3,0.05737704918032786,0.4,3,3,3,1,0.6,0.0,4.0,0.10869565217391304,0.37865780485553396,-0.0392495448420476,1,0,0,1,0,0,0,0,0,1,0,1,0,0
50029,0,0.29508196721311475,1,0.08686392495025112,0.4,3,4,9,0,0.4666666666666667,1.0,1.0,0.32608695652173914,0.3799501523123788,0.935061197120462,1,0,0,1,0,0,0,0,1,0,0,0,1,0
50030,0,0.0819672131147541,3,0.07377049180327869,0.4,3,2,2,0,0.20000000000000007,2.0,3.0,0.15217391304347827,0.5845718329794762,-0.6211047645207738,0,1,0,0,0,0,0,0,0,1,0,0,0,1
50031,0,0.032786885245901634,1,0.008196721311475405,0.4,3,3,2,0,0.1333333333333334,0.0,1.0,0.19565217391304346,0.44059817225145387,-0.980219986437982,1,1,0,0,0,1,0,0,0,0,0,1,0,0
50032,0,0.0,1,0.06557377049180327,0.4,4,3,3,0,0.4,1.0,1.0,0.0,0.4963845041385888,-1.2196301343827876,1,0,1,0,0,0,0,1,0,0,0,1,0,0
50033,0,0.4918032786885246,1,0.0819672131147541,0.6000000000000001,4,4,5,1,0.6,1.0,1.0,0.0,0.4106587895012154,2.3715220847892957,0,0,0,1,1,0,0,0,0,0,0,1,0,0
50034,0,0.21311475409836067,3,0.04098360655737705,0.6000000000000001,4,2,8,0,0.0,2.0,2.0,0.2391304347826087,0.6417120526785439,0.33653582725844833,1,0,1,0,0,0,0,0,0,1,0,1,0,0
50035,0,0.1751252965542494,3,0.024590163934426233,0.6000000000000001,3,3,7,0,0.4666666666666667,1.0,1.0,0.043478260869565216,0.3763500415397397,0.05913644690360146,0,1,0,0,0,0,0,0,0,1,0,1,0,0
50036,0,0.0,1,0.08686392495025112,0.6000000000000001,3,2,2,0,0.8666666666666668,0.0,2.0,0.043478260869565216,0.3791808978737807,-1.2196301343827876,1,0,0,1,1,0,0,0,0,0,0,1,0,0
50037,0,0.16165147245422629,1,0.0819672131147541,0.4,3,4,7,0,0.4666666666666667,0.0,2.0,0.043478260869565216,0.3699806147881473,-0.0392495448420476,1,1,0,0,1,0,0,0,0,0,0,0,1,0
50038,0,0.016393442622950817,1,0.18032786885245905,0.5387250237868696,3,2,2,0,0.0,0.0,1.0,0.043478260869565216,0.3911812671159112,-1.0999250604103847,1,0,0,1,1,0,0,0,0,0,0,1,0,0
